,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
0,5568,depth_meters_2020,0.2898844170488799,9,0.6,0.6833705019188855,8,8
1,18566,depth_meters_2020,0.9701884027081119,29,0.85,0.9445730789628229,11,11
2,14858,depth_meters_2020,0.06430512959210322,2,0.225,0.2122984388395594,4,4
3,3415,depth_meters_2020,0.5645565599661588,17,0.79,0.8767072621981794,10,10
4,21385,depth_meters_2020,0.5600997404766107,17,0.79,0.8529960184991586,10,10
5,19709,depth_meters_2020,0.5665021486961814,17,0.79,0.8230365562678736,10,10
6,20062,depth_meters_2020,0.18814710339311425,6,0.49,0.533884616863306,7,7
7,12393,depth_meters_2020,0.9034453945971886,27,0.85,0.910427898551233,11,11
8,11750,depth_meters_2020,0.3640706054356887,11,0.65,0.7600779501263143,9,9
9,8230,depth_meters_2020,0.286412966100269,9,0.6,0.7171032770874279,9,9
10,2055,depth_meters_2020,0.1572044008369059,5,0.42,0.4371537131021161,6,6
11,29190,depth_meters_2020,0.35599066096824405,11,0.65,0.7049248348663076,9,9
12,23259,depth_meters_2020,0.7564907485216728,22,0.845,0.8612576290330722,10,10
13,24150,depth_meters_2020,0.10408753788080494,4,0.36,0.433751500884113,6,6
14,19664,depth_meters_2020,0.07278122834906497,3,0.3,0.398202347708042,5,5
15,3501,depth_meters_2020,0.6876010047625607,20,0.83,0.8943584626312131,10,10
16,8333,depth_meters_2020,0.965562798498986,29,0.85,0.9730660673859829,11,11
17,22058,depth_meters_2020,0.08817561588779488,3,0.3,0.24004042729401248,4,4
18,29616,depth_meters_2020,0.15214823685001932,5,0.42,0.3772252103528196,5,5
19,29749,depth_meters_2020,0.21434110820062213,7,0.55,0.6977332724382805,8,8
20,13022,depth_meters_2020,0.3085876999059227,9,0.6,0.6456792653486827,8,8
21,8896,depth_meters_2020,0.29042750017505614,9,0.6,0.6757890950921454,8,8
22,28010,depth_meters_2020,0.5077623485821012,15,0.75,0.7148469727464034,9,9
23,3994,depth_meters_2020,0.9920349279258628,29,0.85,0.8574065490335169,10,10
24,20460,depth_meters_2020,0.38338752349076366,12,0.675,0.7720564280187413,9,9
25,25157,depth_meters_2020,0.6017963805327822,18,0.81,0.8084091658245548,10,10
26,419,depth_meters_2020,0.3404674884969562,10,0.625,0.7408032214631787,9,9
27,17785,depth_meters_2020,0.16082728319240058,5,0.42,0.5001738921219496,7,7
28,27253,depth_meters_2020,0.9502499356128269,28,0.85,0.9937857273795473,11,11
29,18145,depth_meters_2020,0.7797471276433361,23,0.85,0.9585191793899314,11,11
30,20009,depth_meters_2020,0.8042212675034967,24,0.85,0.9543376318996737,11,11
31,13512,depth_meters_2020,0.5691440953105477,17,0.79,0.7504531984504776,9,9
32,7390,depth_meters_2020,0.3394540162641324,10,0.625,0.6043667696490728,8,8
33,30128,depth_meters_2020,0.31280065032372795,10,0.625,0.6918702499836927,8,8
34,25265,depth_meters_2020,0.38909539730490983,12,0.675,0.719884392625099,9,9
35,28993,depth_meters_2020,0.7004259785984478,21,0.84,0.9180539363638806,11,11
36,5256,depth_meters_2020,0.9103426011346155,27,0.85,0.9914570804697247,11,11
37,22808,depth_meters_2020,0.6357089060910768,19,0.82,0.7080533665791666,9,9
38,14500,depth_meters_2020,0.7896179254259827,23,0.85,0.962211563682323,11,11
39,31528,depth_meters_2020,0.9491352531318236,28,0.85,0.951256197632232,11,11
40,18339,depth_meters_2020,0.4962253207702486,15,0.75,0.8484291482546336,10,10
41,9815,depth_meters_2020,0.10234652972943126,3,0.3,0.1585484006235437,3,3
42,1953,depth_meters_2020,0.04672733638476545,2,0.225,0.27436546725186917,4,4
43,26063,depth_meters_2020,0.8631603615417213,26,0.85,0.9677384680274654,11,11
44,29247,depth_meters_2020,0.9390155342802949,28,0.85,0.9760103619123293,11,11
45,22144,depth_meters_2020,0.8316152800286585,25,0.85,0.9468282891464487,11,11
46,9253,depth_meters_2020,0.5604222792606351,17,0.79,0.9295139899763372,11,11
47,26135,depth_meters_2020,0.8503435964190842,25,0.85,0.9109537355938682,11,11
48,29107,depth_meters_2020,0.8473759539215686,25,0.85,0.9125562785650422,11,11
